full_text,,,,,,,,,,,,,
Setelah dua setengah tahun akhirnya kena krtitik habis juga padahal ada yang lebih jelek!! ,,,,,,,,,,,,,
 Emang center ada gunanya? Kenapa harus ada leader? Apa gunanya leader sih? Kan udah ada anu anu anu anu Si tolol.,,,,,,,,,,,,,
@kumparan Reaksi di X vs tiktok beda ya dalam menyambut wacana bodoh ini libur 1 bulan penuh disamakan dengan zaman Gus Dur ga nyambung banget asli. Di aplikasi kandang monyet malah puja puji haji Jaka praroro presiden terbaik bla bla bla ,,,,,,,,,,,,,
@Hallobayyy Lagu jorok gini malah doyan tolol tolol,,,,,,,,,,,,,
@Rebornian48 @Yokanang_ @DomLica_ @inilouisbukan @jehaes_ @salahpraktikan @Versi_Jelek @heheisdan @itsmft_ @peyeeeek @_futarisaison @Isra_KK @Nyimakajja @maspai_jo @KunKunKunKlan @itskyreyy Akhirnya masuk Tapi kok.. gapapa deh yang penting masuk ,,,,,,,,,,,,,
@AjemScript pliss ka. masaa keluargaa keparat kaya gituu menanggg ya kali bundanya yasa jadi bego begitu kaaaa,,,,,,,,,,,,,
Goblok negara apa sih ini. Kerja lu gimana sih tai @prabowo @gibran_tweet,,,,,,,,,,,,,
Waktu ada yg memuji rambut panjangnya dia malah memotongnya krn lakiÃ‚Â² yg dicintai ga suka rambut panjangnya. Sejak awal Mikasa emang bulol. Bucin boleh mik tolol jgn.,,,,,,,,,,,,,
@jaeyunsf Ini mah namanya bego in org bzir ,,,,,,,,,,,,,
@_raryasa @theflankerID Semua lini emang jelek aja itu medioker united,,,,,,,,,,,,,
mksh buat diriku yg msh ttp waras dan sehat meskipun bnyk hal yg tak terduga terjadi tpi msh ttp milih buat waras pesanku tolong jgn terlalu bego utk kedepannya,,,,,,,,,,,,,
kenapa kita tidak kompak kita buat uang unt negara kita sendiri melawan kekuatan global unt pembanguna seperti versi pembuat uang palsu di makasar dari pada kita berhutang oh iya lupa @jokowi kan tolol dan pengkhianat bangsa krn terjadi di zaman dia,,,,,,,,,,,,,
Pala lo kejedot apaan?? Udah dikasih fakta malah bikin2 sendiri cara ngitung pure sales tinggal ngaku salah apa susahnya sih. Organically apanya yg organic kl payola fav lo dmana2 ampe fans artis barat pun eneg ama lagu itu. Akun chart tp blunder n ngajak ribut mulu bego.,,,,,,,,,,,,,11
@nanura__ Yang sifat jelek kita buang,,,,,,,,,,,,,
Jadi aslinya nangis tolol ama sange tolol KWKWKWKW,,,,,,,,,,,,,
@ManUtd_ID emg manchester dua2nya sama2 goblok,,,,,,,,,,,,,
Alah boong wkwk dikira netizen pada bego semua,,,,,,,,,,,,,
@JamalBoegis Bangsat ga kelar2 korupsi ada lagi!,,,,,,,,,,,,,
@Nazril_Iznil Moyang aku pernah kerja dengan British sebelum Jepun datang. So aku ni cicit pengkhianat juga ke? Bodoh punya fadhli khawarij!,,,,,,,,,,,,,
