slang,formal,,,,,,
27-Jun,dua puluh tujuh juni;,,,,,,
 bct ,bacot,,,,,,
 playingvictim, playing victim,,,,,,
_kepada,kepada;,,,,,,
_klompok,kelompok;,,,,,,
=,sama dengan,,,,,,
10jt,sepuluh juta;,,,,,,
10k,sepuluh ribu;,,,,,,
10kk,sepuluh juta;,,,,,,
10rb,sepuluh ribu;,,,,,,
10t,10 triliun,,,,,,
10th,sepuluh tahun;,,,,,,
120k,seratus dua puluh ribu;,,,,,,
13rb,tiga belas ribu;,,,,,,
145k,seratus empat puluh lima ribu;,,,,,,
149rb,seratus empat puluh sembilan ribu;,,,,,,
14rb,empat belas ribu;,,,,,,
15jt,lima belas juta;,,,,,,
16gb,enam belas giga byte;,,,,,,
16jam,enam belas jam;,,,,,,
16th,enam belas tahun;,,,,,,
17an,tujuh belasan;,,,,,,
1jt,satu juta;,,,,,,
1kg,satu kilogram;,,,,,,
1periode,satu periode;,,,,,,
1st,pertama;,,,,,,
1t,satu triliun;,,,,,,
200an,dua ratusan;,,,,,,
200rbu,dua ratus ribu;,,,,,,
2018gantigubernur,2018 ganti gubernur;,,,,,,
2019asalbukanjokowi,2019 asal bukan jokowi;,,,,,,
2019forjkw,2019 for jokowi;,,,,,,
2019g,2019 ganti presiden;,,,,,,
2019ga,2019 ganti presiden;,,,,,,
2019ganti,2019 ganti presiden;,,,,,,
2019gantikacung,2019 ganti kacung;,,,,,,
2019gantip,2019 ganti presiden;,,,,,,
2019gantipesinden,2019 ganti presiden;,,,,,,
2019gantipre,2019 ganti presiden;,,,,,,
2019gantipres,2019 ganti presiden;,,,,,,
2019gantipresid,2019 ganti presiden;,,,,,,
2019gantipreside,2019 ganti presiden;,,,,,,
2019gantipresiden,2019 ganti presiden;,,,,,,
2019gantipresidenbaru,2019 ganti presiden baru;,,,,,,
2019gantipresidenkacung,2019 ganti presiden kacung;,,,,,,
2019gantirezim,2019 ganti rezim;,,,,,,
2019gantisistem,2019 ganti sistem;,,,,,,
2019gantitelor,2019 ganti telor;,,,,,,
2019jokowiend,2019 jokowi selesai;,,,,,,
2019jokowilagi,2019 jokowi lagi;,,,,,,
2019jokowilanjutkan,2019 jokowi lanjutkan;,,,,,,
2019kitatetapjokowi,2019 kita tetap jokowi;,,,,,,
2019lanjutjokowi,2019 lanjut jokowi;,,,,,,
2019pilihjokowi,2019 pilih jokowi;,,,,,,
2019prabowoanismatta,2019 prabowo anis matta;,,,,,,
2019prabowopresiden,2019 prabowo presiden;,,,,,,
2019prabowopresident08,2019 prabowo presiden;,,,,,,
2019prabowori1,2019 prabowo satu;,,,,,,
2019presidenbaru,2019 presiden baru;,,,,,,
2019t3tapjokowi,2019 tetap jokowi;,,,,,,
2019tenggelamkanjokowikesungaisiak,2019 tenggelamkan jokowi ke sungai siak;,,,,,,
2019tetapjokow,2019 tetap jokowi;,,,,,,
2019tetapjokowi,2019 tetap jokowi;,,,,,,
2019tetapjokowiganti,2019 tetap jokowi ganti;,,,,,,
2019tetapjokowiyangdiganti,2019 tetap jokowi yang diganti;,,,,,,
20menit,dua puluh menit;,,,,,,
20rb,dua puluh ribu;,,,,,,
20tahun,dua puluh tahun;,,,,,,
20tahunpks,20 tahun pks;,,,,,,
22nya,dua-duanya,,,,,,
24rb,dua puluh empat ribu;,,,,,,
250juta,dua ratus lima puluh juta;,,,,,,
260jt,dua ratus enam puluh juta;,,,,,,
27m,dua puluh tujuh meter;,,,,,,
298m,dua ratus sembilan puluh delapan meter;,,,,,,
2jtnya,dua jutanya;,,,,,,
2oeharto,soeharto;,,,,,,
2periode,dua periode;,,,,,,
2th,dua tahun;,,,,,,
2thn,dua tahun;,,,,,,
2untukjabar,dua untuk jawa barat;,,,,,,
2untukjatim,dua untuk jawa timur;,,,,,,
2x,dua kali;,,,,,,
3-,3 sampai,,,,,,
300an,tiga ratusan;,,,,,,
30an,tiga puluhan;,,,,,,
30m,tiga puluh meter;,,,,,,
30rb,tiga puluh ribu;,,,,,,
30s,tiga puluh detik;,,,,,,
35ribu,tiga puluh lima ribu;,,,,,,
35t,tiga puluh lima triliun;,,,,,,
3jari,tiga jari;,,,,,,
3lauk10ribu,tiga lauk sepuluh ribu;,,,,,,
3some,threesome;,,,,,,
3tahun,tiga tahun;,,,,,,
3x,tiga kali;,,,,,,
400km,empat ratus kilometer;,,,,,,
400t,empat ratus triliun;,,,,,,
40an,empat puluhan;,,,,,,
48g,empat puluh gram;,,,,,,
48km,empat puluh delapan kilometer;,,,,,,
4bdurrahman,abdurrahman;,,,,,,
4d,empat dimensi;,,,,,,
4jam,empat jam;,,,,,,
4minute,empat menit;,,,,,,
4sd,4 sekolah dasar,,,,,,
4tahun,empat tahun;,,,,,,
4x,empat kali;,,,,,,
500an,lima ratusan;,,,,,,
50rb,lima puluh ribu;,,,,,,
515ukm4w4t1,si sukmawati;,,,,,,
53thgolkar,lima puluh tiga tahun golkar;,,,,,,
5in1,five in one;,,,,,,
5katauntukhariini,lima kata untuk hari ini;,,,,,,
5oekarno,soekarno;,,,,,,
5th,lima tahun;,,,,,,
5x,lima kali;,,,,,,
65kg,enam puluh lima kilogram;,,,,,,
6ambang,bambang;,,,,,,
6line,enam garis;,,,,,,
6t,enam triliun;,,,,,,
75jt,tujuh puluh lima juta;,,,,,,
7oko,toko;,,,,,,
7th,tujuh tahun;,,,,,,
80an,delapan puluhan;,,,,,,
80kg,delapan puluh kilogram;,,,,,,
8an,delapanan;,,,,,,
8angsat,bangsat;,,,,,,
93tahun,sembilan puluh tiga tahun;,,,,,,
97miliar,sembilan puluh tujuh miliar;,,,,,,
9th,sembilan tahun;,,,,,,
Ã¯Â¿Â½ maroko,maroko;,,,,,,
Ã¯Â¿Â½ramayana,ramayana;,,,,,,
aa,kakak;,,,,,,
aaaaaaakkk,ah,,,,,,
aaaaahhhh,ah,,,,,,
aaaammmiiiinnnn,amin,,,,,,
aaahh,ah,,,,,,
aaamiiin,amin,,,,,,
aaamiiinnn,amin,,,,,,
aaamin,amin,,,,,,
aadren,adren;,,,,,,
aaghr,ah;,,,,,,
aagym,abdullah gymnastiar;,,,,,,
aah,ah;,,,,,,
aahh,ah,,,,,,
aaja,saja,,,,,,
aakuu,aku;,,,,,,
aama,sama,,,,,,
aamien,amin,,,,,,
aamiiiiinnn,amin,,,,,,
aamiiiinnnnn,amin,,,,,,
aamiiin,amin,,,,,,
aamiin,amin,,,,,,
aamiin,amin,,,,,,
aamiinin,amin,,,,,,
aamiinn,amin;,,,,,,
aamiinnn,amin,,,,,,
aamin,amin,,,,,,
aaminn,amin;,,,,,,
aammiin,amin;,,,,,,
aammiinnn,amin,,,,,,
aanjing,anjing;,,,,,,
aarman,arman;,,,,,,
aaron,aron;,,,,,,
aarrgghh,ah;,,,,,,
aarze,arze;,,,,,,
abah,ayah;,,,,,,
"abal""",abal-abal,,,,,,
abal2,abal-abal,,,,,,
abam,ayah;,,,,,,
abang2,abang-abang,,,,,,
abanggg,abang,,,,,,
abanggku,abangku,,,,,,
abaq,abaqus;,,,,,,
abd,abdi;,,,,,,
abeees,habis,,,,,,
abege,remaja,,,,,,
abes,habis,,,,,,
abez,habis,,,,,,
abg,abang,,,,,,
abgbugil,abg bugil;,,,,,,
abgmesum,abg mesum;,,,,,,
abgnya,abangnya,,,,,,
abgnyaah,abangnya,,,,,,
abiez,habis;,,,,,,
abiiiiisssss,habis,,,,,,
abiiis,sekali,,,,,,
abiiiss,habis,,,,,,
abis,habis,,,,,,
abis2,habis-habis,,,,,,
